project,description,version,developers,url,year,licenses,license urls,dependency
Compose Unit,Compose classes for simple units,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-unit-jvmstubs:1.7.8
Compose Unit,Compose classes for simple units,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-unit-android:1.7.8
Compose Util,Internal Compose utilities used by other modules,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-util-jvmstubs:1.7.8
Compose Util,Internal Compose utilities used by other modules,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-util-android:1.7.8
ConstraintLayout,This library offers a flexible and adaptable way to position and animate widgets,2.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/constraintlayout#2.2.0,2022,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.constraintlayout:constraintlayout:2.2.0
ConstraintLayout Core,This library contains engines and algorithms for constraint based layout and complex animations (it is used by the ConstraintLayout library),1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/constraintlayout#1.1.0,2022,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.constraintlayout:constraintlayout-core:1.1.0
Converter: Gson,A Retrofit Converter which uses Gson for serialization.,2.9.0,Square, Inc.,https://github.com/square/retrofit,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.squareup.retrofit2:converter-gson:2.9.0
Core,Provides backward-compatible implementations of Android platform APIs and features.,1.15.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/core#1.15.0,2015,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.core:core:1.15.0
Core Kotlin Extensions,Kotlin extensions for 'core' artifact,1.15.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/core#1.15.0,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.core:core-ktx:1.15.0
Dagger,A fast dependency injector for Android and Java.,2.51.1,null,https://github.com/google/dagger,null,Apache 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,com.google.dagger:dagger:2.51.1
Dagger Lint Rules AAR Distribution,A fast dependency injector for Android and Java.,2.51.1,null,https://github.com/google/dagger,null,Apache 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,com.google.dagger:dagger-lint-aar:2.51.1
error-prone annotations,null,2.15.0,null,null,null,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.errorprone:error_prone_annotations:2.15.0
Experimental annotation,Java annotation for use on unstable Android API surfaces. When used in conjunction with the Experimental annotation lint checks, this annotation provides functional parity with Kotlin's Experimental annotation.,1.4.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/annotation#1.4.1,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.annotation:annotation-experimental:1.4.1
FindBugs-jsr305,JSR305 Annotations for Findbugs,3.0.2,null,http://findbugs.sourceforge.net/,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.code.findbugs:jsr305:3.0.2
firebase-analytics,null,21.3.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.firebase:firebase-analytics:21.3.0
firebase-annotations,null,16.2.0,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.firebase:firebase-annotations:16.2.0
firebase-appcheck-interop,null,17.0.0,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.firebase:firebase-appcheck-interop:17.0.0
firebase-auth,null,22.1.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.firebase:firebase-auth:22.1.0
firebase-auth-interop,null,20.0.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.firebase:firebase-auth-interop:20.0.0
firebase-auth-ktx,null,22.1.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.firebase:firebase-auth-ktx:22.1.0
firebase-common,null,20.3.3,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.firebase:firebase-common:20.3.3
firebase-common-ktx,null,20.3.3,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.firebase:firebase-common-ktx:20.3.3
firebase-components,null,17.1.0,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.firebase:firebase-components:17.1.0
firebase-encoders,null,17.0.0,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.firebase:firebase-encoders:17.0.0
firebase-encoders-json,null,17.1.0,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.firebase:firebase-encoders-json:17.1.0
firebase-installations,null,17.1.3,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.firebase:firebase-installations:17.1.3
firebase-installations-interop,null,17.1.0,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.firebase:firebase-installations-interop:17.1.0
firebase-measurement-connector,null,19.0.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.firebase:firebase-measurement-connector:19.0.0
Fragment Kotlin Extensions,Kotlin extensions for 'fragment' artifact,1.5.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/fragment#1.5.7,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.fragment:fragment-ktx:1.5.7
Gson,null,2.10.1,null,null,null,Apache-2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,com.google.code.gson:gson:2.10.1
Guava ListenableFuture only,Contains Guava's com.google.common.util.concurrent.ListenableFuture class,
    without any of its other classes -- but is also available in a second
    "version" that omits the class to avoid conflicts with the copy in Guava
    itself. The idea is:

    - If users want only ListenableFuture, they depend on listenablefuture-1.0.

    - If users want all of Guava, they depend on guava, which, as of Guava
    27.0, depends on
    listenablefuture-9999.0-empty-to-avoid-conflict-with-guava. The 9999.0-...
    version number is enough for some build systems (notably, Gradle) to select
    that empty artifact over the "real" listenablefuture-1.0 -- avoiding a
    conflict with the copy of ListenableFuture in guava itself. If users are
    using an older version of Guava or a build system other than Gradle, they
    may see class conflicts. If so, they can solve them by manually excluding
    the listenablefuture artifact or manually forcing their build systems to
    use 9999.0-....,1.0,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.guava:listenablefuture:1.0
Hilt Android,A fast dependency injector for Android and Java.,2.51.1,null,https://github.com/google/dagger,null,Apache 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,com.google.dagger:hilt-android:2.51.1
Hilt Core,A fast dependency injector for Android and Java.,2.51.1,null,https://github.com/google/dagger,null,Apache 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,com.google.dagger:hilt-core:2.51.1
integrity,null,1.1.0,null,null,null,Play Integrity API Terms of Service,https://developer.android.com/google/play/integrity/overview#tos,com.google.android.play:integrity:1.1.0
javax.inject,The javax.inject API,1,null,http://code.google.com/p/atinject/,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,javax.inject:javax.inject:1
JetBrains Java Annotations,A set of annotations used for code inspection support and code documentation.,23.0.0,JetBrains Team,https://github.com/JetBrains/java-annotations,null,The Apache Software License, Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains:annotations:23.0.0
Kotlin Android Extensions Runtime,Kotlin Android Extensions Runtime,1.9.20,Kotlin Team,https://kotlinlang.org/,null,The Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-android-extensions-runtime:1.9.20
Kotlin Reflect,Kotlin Full Reflection Library,1.8.22,Kotlin Team,https://kotlinlang.org/,null,The Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-reflect:1.8.22
Kotlin Stdlib,Kotlin Standard Library,1.9.25,Kotlin Team,https://kotlinlang.org/,null,The Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib:1.9.25
Kotlin Stdlib Jdk7,Kotlin Standard Library JDK 7 extension,1.9.10,Kotlin Team,https://kotlinlang.org/,null,The Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.9.10
Kotlin Stdlib Jdk8,Kotlin Standard Library JDK 8 extension,1.9.10,Kotlin Team,https://kotlinlang.org/,null,The Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.9.10
kotlinx-coroutines-android,Coroutines support libraries for Kotlin,1.7.3,JetBrains Team,https://github.com/Kotlin/kotlinx.coroutines,null,The Apache Software License, Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-coroutines-android:1.7.3
kotlinx-coroutines-core,Coroutines support libraries for Kotlin,1.7.3,JetBrains Team,https://github.com/Kotlin/kotlinx.coroutines,null,The Apache Software License, Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm:1.7.3
kotlinx-coroutines-play-services,Coroutines support libraries for Kotlin,1.7.3,JetBrains Team,https://github.com/Kotlin/kotlinx.coroutines,null,The Apache Software License, Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlinx:kotlinx-coroutines-play-services:1.7.3
Lifecycle Kotlin Extensions,Kotlin extensions for 'lifecycle' artifact,2.8.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.7,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-runtime-ktx-android:2.8.7
Lifecycle LiveData,Android Lifecycle LiveData,2.8.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.7,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-livedata:2.8.7
Lifecycle LiveData Core,Android Lifecycle LiveData Core,2.8.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.7,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-livedata-core:2.8.7
Lifecycle Process,Android Lifecycle Process,2.8.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.7,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-process:2.8.7
Lifecycle Runtime,Android Lifecycle Runtime,2.8.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.7,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-runtime-desktop:2.8.7
Lifecycle Runtime,Android Lifecycle Runtime,2.8.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.7,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-runtime-android:2.8.7
Lifecycle Runtime Compose,Compose integration with Lifecycle,2.8.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.7,2021,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-runtime-compose-android:2.8.7
Lifecycle ViewModel,Android Lifecycle ViewModel,2.8.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.7,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel:2.8.7
Lifecycle ViewModel,Android Lifecycle ViewModel,2.8.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.7,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel-desktop:2.8.7
Lifecycle ViewModel,Android Lifecycle ViewModel,2.8.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.7,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel-android:2.8.7
Lifecycle ViewModel Compose,Compose integration with Lifecycle ViewModel,2.8.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.7,2021,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel-compose-desktop:2.8.7
Lifecycle ViewModel Compose,Compose integration with Lifecycle ViewModel,2.8.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.7,2021,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel-compose-android:2.8.7
Lifecycle ViewModel Kotlin Extensions,Kotlin extensions for 'viewmodel' artifact,2.8.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.7,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel-ktx:2.8.7
Lifecycle ViewModel with SavedState,Android Lifecycle ViewModel,2.8.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.7,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel-savedstate:2.8.7
Lifecycle-Common,Android Lifecycle-Common,2.8.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.7,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-common-jvm:2.8.7
Lifecycle-Common for Java 8,Android Lifecycle-Common for Java 8 Language,2.8.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.7,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-common-java8:2.8.7
LiveData Core Kotlin Extensions,Kotlin extensions for 'livedata-core' artifact,2.8.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.7,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-livedata-core-ktx:2.8.7
Lottie,Lottie is an animation library that renders Adobe After Effects animations natively in realtime.,3.1.0,Airbnb,https://github.com/airbnb/lottie-android,null,Apache License 2.0,https://github.com/airbnb/lottie-android/blob/master/LICENSE,com.airbnb.android:lottie:3.1.0
Material Components for Android,Material Components for Android is a static library that you can add to your Android application in order to use APIs that provide implementations of the Material Design specification. Compatible on devices running API 14 or later.,1.12.0,The Android Open Source Project,https://github.com/material-components/material-components-android,2015,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.android.material:material:1.12.0
Moshi,A modern JSON API for Android and Java,1.11.0,Square, Inc.,https://github.com/square/moshi/,2015,The Apache Software License, Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,com.squareup.moshi:moshi:1.11.0
Moshi Kotlin,A modern JSON API for Android and Java,1.11.0,Square, Inc.,https://github.com/square/moshi/,2015,The Apache Software License, Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,com.squareup.moshi:moshi-kotlin:1.11.0
Navigation Common,Android Navigation-Common,2.7.5,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/navigation#2.7.5,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.navigation:navigation-common:2.7.5
Navigation Common Kotlin Extensions,Android Navigation-Common-Ktx,2.7.5,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/navigation#2.7.5,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.navigation:navigation-common-ktx:2.7.5
Navigation Compose Hilt Integration,Navigation Compose Hilt Integration,1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/hilt#1.0.0,2021,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.hilt:hilt-navigation-compose:1.0.0
Navigation Runtime,Android Navigation-Runtime,2.7.5,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/navigation#2.7.5,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.navigation:navigation-runtime:2.7.5
Navigation Runtime Kotlin Extensions,Android Navigation-Runtime-Ktx,2.7.5,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/navigation#2.7.5,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.navigation:navigation-runtime-ktx:2.7.5
okhttp,Square’s meticulous HTTP client for Java and Kotlin.,4.12.0,Square, Inc.,https://square.github.io/okhttp/,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.squareup.okhttp3:okhttp:4.12.0
okhttp-logging-interceptor,Square’s meticulous HTTP client for Java and Kotlin.,4.9.2,Square, Inc.,https://square.github.io/okhttp/,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.squareup.okhttp3:logging-interceptor:4.9.2
okio,A modern I/O library for Android, Java, and Kotlin Multiplatform.,3.6.0,Square, Inc.,https://github.com/square/okio/,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.squareup.okio:okio-jvm:3.6.0
Parcelize Runtime,Runtime library for the Parcelize compiler plugin,1.9.20,Kotlin Team,https://kotlinlang.org/,null,The Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-parcelize-runtime:1.9.20
PDF Viewer,A PDF viewing library for Android,2.2.2,Rajat Mittal,https://github.com/afreakyelf/pdfviewer,null,MIT License,https://opensource.org/licenses/MIT,io.github.afreakyelf:Pdf-Viewer:2.2.2
play-services-ads-identifier,null,18.0.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-ads-identifier:18.0.0
play-services-auth,null,20.5.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-auth:20.5.0
play-services-auth-api-phone,null,18.0.1,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-auth-api-phone:18.0.1
play-services-auth-base,null,18.0.4,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-auth-base:18.0.4
play-services-base,null,18.1.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-base:18.1.0
play-services-basement,null,18.2.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-basement:18.2.0
play-services-fido,null,20.0.1,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-fido:20.0.1
play-services-measurement,null,21.3.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-measurement:21.3.0
play-services-measurement-api,null,21.3.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-measurement-api:21.3.0
play-services-measurement-base,null,21.3.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-measurement-base:21.3.0
play-services-measurement-impl,null,21.3.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-measurement-impl:21.3.0
play-services-measurement-sdk,null,21.3.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-measurement-sdk:21.3.0
play-services-measurement-sdk-api,null,21.3.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-measurement-sdk-api:21.3.0
play-services-mlkit-document-scanner,null,16.0.0-beta1,null,null,null,ML Kit Terms of Service,https://developers.google.com/ml-kit/terms,com.google.android.gms:play-services-mlkit-document-scanner:16.0.0-beta1
play-services-stats,null,17.0.2,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-stats:17.0.2
play-services-tasks,null,18.0.2,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.gms:play-services-tasks:18.0.2
Profile Installer,Allows libraries to prepopulate ahead of time compilation traces to be read by ART,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/profileinstaller#1.4.0,2021,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.profileinstaller:profileinstaller:1.4.0
recaptcha,null,18.1.2,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.android.recaptcha:recaptcha:18.1.2
RecyclerView,Android Support RecyclerView,1.4.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/recyclerview#1.4.0,2014,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.recyclerview:recyclerview:1.4.0
Retrofit,A type-safe HTTP client for Android and Java.,2.9.0,Square, Inc.,https://github.com/square/retrofit,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.squareup.retrofit2:retrofit:2.9.0
Saved State,Android Lifecycle Saved State,1.2.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/savedstate#1.2.1,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.savedstate:savedstate:1.2.1
SavedState Kotlin Extensions,Kotlin extensions for 'savedstate' artifact,1.2.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/savedstate#1.2.1,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.savedstate:savedstate-ktx:1.2.1
Timber,No-nonsense injectable logging.,5.0.1,Jake Wharton,https://github.com/JakeWharton/timber,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.jakewharton.timber:timber:5.0.1
Tink Cryptography API for Android,Tink is a small cryptographic library that provides a safe, simple, agile and fast way to accomplish some common cryptographic tasks.,1.8.0,,http://github.com/tink-crypto/tink-java,null,Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.crypto.tink:tink-android:1.8.0
Transition,Android Transition Support Library,1.5.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/transition#1.5.0,2016,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.transition:transition:1.5.0
transport-api,null,2.2.1,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.android.datatransport:transport-api:2.2.1
transport-backend-cct,null,2.3.3,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.android.datatransport:transport-backend-cct:2.3.3
transport-runtime,null,2.2.6,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.android.datatransport:transport-runtime:2.2.6
v2-auth,null,2.20.6,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.kakao.sdk:v2-auth:2.20.6
v2-common,null,2.20.6,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.kakao.sdk:v2-common:2.20.6
v2-network,null,2.20.6,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.kakao.sdk:v2-network:2.20.6
v2-user,null,2.20.6,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.kakao.sdk:v2-user:2.20.6
VersionedParcelable,Provides a stable but relatively compact binary serialization format that can be passed across processes or persisted safely.,1.1.1,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.versionedparcelable:versionedparcelable:1.1.1
viewbinding,null,8.8.1,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.databinding:viewbinding:8.8.1
ViewPager2,AndroidX Widget ViewPager2,1.1.0-beta02,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/viewpager2#1.1.0-beta02,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.viewpager2:viewpager2:1.1.0-beta02